DATAFLOW,LAST UPDATE,freq,sex,age,isced11,training,geo,unit,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Spain,Percentage,2024,88.4,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Spain,Thousand persons,2024,969.9,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,European Union - 27 countries (from 2020),Percentage,2024,91.7,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,European Union - 27 countries (from 2020),Thousand persons,2024,8746.5,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Finland,Percentage,2024,89.3,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Finland,Thousand persons,2024,128.1,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,France,Percentage,2024,91.8,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,France,Thousand persons,2024,1362.9,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Croatia,Percentage,2024,97.0,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Croatia,Thousand persons,2024,73.0,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Hungary,Percentage,2024,91.8,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Hungary,Thousand persons,2024,208.2,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Ireland,Percentage,2024,99.1,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Ireland,Thousand persons,2024,128.1,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Italy,Percentage,2024,95.1,,
